ime,obshtina,moshtnost
"ФтЕЦ ""Еко Хелиос Енерджи - Млекарево""",община Нова Загора,1.5
"ФтЕЦ ""Захов""",община Петрич,0.03
"ФтЕЦ ""Заки - Хаджи Димитрово""",община Тунджа,0.1998
"ФтЕЦ ""Зара лизинг - Крушаре""",община Сливен,1.3
"ФтЕЦ ""Заберново Солар""",община Малко Търново,0.1584
"ФтЕЦ ""Караджалово""",община Първомай,50.0
"ФтЕЦ ""Върбово 1""",община Чупрене,0.09
"ФтЕЦ ""Зегерови пръстени - пружини - Шейново""",община Казанлък,0.2205
"ФтЕЦ ""Зенит""",община Харманли,0.07144
"ФтЕЦ ""Зенит Гео""",община Пазарджик,0.2
"ФтЕЦ ""Зелена светлина - Чинтулово""",община Сливен,2.0
"ФтЕЦ ""Зико - Присадец""",община Тополовград,0.04896
"ФтЕЦ ""Зита""",община Русе,0.11724
"ФтЕЦ ""Златен лев Солар""",община Пазарджик,0.121
"ФтЕЦ ""Зелена светлина - Сливен""",община Сливен,2.792
